Date,Open,High,Low,Close,Volume
18-11-2015,463.799988,465.649994,454.975006,456,5142766
19-11-2015,459.450012,469.350006,458.625,467.375,5569752
20-11-2015,467,476.399994,462.774994,473.424988,5167930
23-11-2015,475,478.950012,473.100006,476.875,4800026
24-11-2015,476.5,485.799988,475.524994,483.850006,6768886
26-11-2015,485.5,495.975006,484.125,494.325012,10883224
27-11-2015,494.5,496.25,487.049988,489.524994,4979394
30-11-2015,489.25,492.200012,481.149994,483.549988,13678054
01-12-2015,482,489.399994,480.625,482.950012,5934650
02-12-2015,483.125,489.850006,482.25,488.975006,3462408
03-12-2015,487.450012,494.475006,487.049988,488.600006,5194048
04-12-2015,486.149994,488.100006,480.700012,482.725006,6146002
07-12-2015,482.725006,486.5,474.875,476.024994,6621556
08-12-2015,474.450012,476.799988,468.049988,470.450012,3443452
09-12-2015,468.100006,471.725006,456.424988,457.950012,4194236
10-12-2015,461.25,476.899994,460,475.174988,8499730
11-12-2015,475.875,479.5,471.450012,476.475006,8300090
14-12-2015,473.799988,481.75,473,477.549988,4829460
15-12-2015,478.5,488.975006,476.825012,487.950012,7186122
16-12-2015,487.950012,493.774994,486.75,489.325012,5530496
17-12-2015,490.024994,507.5,489,504.850006,8854870
18-12-2015,501.899994,504.5,495,495.950012,7322040
21-12-2015,493.950012,499.5,492.174988,496.049988,5637670
22-12-2015,496.399994,501.299988,492,493.649994,5293656
23-12-2015,495.899994,503.450012,495,501.899994,5906346
24-12-2015,501.950012,503.600006,498.149994,500.274994,5441138
28-12-2015,500.299988,506.875,500,505.200012,5891016
29-12-2015,505.200012,509.350006,503.575012,507.700012,6818120
30-12-2015,507.5,508,501,502.25,3726642
31-12-2015,501.700012,509.850006,499.549988,507.299988,8450132
01-01-2016,504.899994,509.450012,504.100006,507.674988,2476270
04-01-2016,502.5,506.899994,493.350006,497.649994,13793142
05-01-2016,500.149994,505,498.5,502.575012,6832918
06-01-2016,503.799988,519.200012,500.200012,516.099976,12233710
07-01-2016,510.524994,514,504.024994,506.625,9024438
08-01-2016,510,516.450012,508.350006,512.875,9743678
11-01-2016,507.975006,530.400024,505.5,525.799988,13265342
12-01-2016,527.5,532.700012,520.549988,522.724976,10685522
13-01-2016,526.549988,544.875,523.599976,538.424988,32825622
14-01-2016,531.924988,540.5,526.525024,530.825012,12719826
15-01-2016,534.875,544.75,532.799988,536.650024,13151450
18-01-2016,537.5,541.974976,504.049988,508.424988,12459918
19-01-2016,514.5,524.900024,507.049988,521.799988,9824192
20-01-2016,517.450012,517.450012,495,502.274994,20624706
21-01-2016,508.774994,512.875,488.350006,492.100006,14523544
22-01-2016,497.024994,505.5,497.024994,502.075012,10826910
25-01-2016,505,509.375,500,501.975006,5988680
27-01-2016,504.049988,505,498.475006,499.674988,7886590
28-01-2016,500.5,510.899994,498.549988,508.450012,10548946
29-01-2016,509.475006,520,509,517.700012,8767154
01-02-2016,519.974976,520.900024,512.775024,515.150024,4534546
02-02-2016,515.150024,516.400024,495.25,500.575012,6752932
03-02-2016,494,497,487.5,490.700012,7173616
04-02-2016,494,500.5,482.850006,486.524994,8322158
05-02-2016,489.549988,491,480.700012,485.450012,9599764
08-02-2016,485.549988,492.399994,478.975006,480.524994,5521706
09-02-2016,476.450012,484.399994,475,478.75,8962058
10-02-2016,475.850006,486.5,474.325012,481.325012,7718500
11-02-2016,481.424988,482.975006,457.75,462.274994,7824326
12-02-2016,466.950012,466.950012,444.049988,453.274994,13403870
15-02-2016,459,475.674988,459,473.375,8815778
16-02-2016,475.549988,479,463.5,465.274994,5954526
17-02-2016,467.549988,478.725006,458.200012,476.299988,7059664
18-02-2016,481.475006,484.350006,468,470.049988,6598322
19-02-2016,470,476.375,468.674988,472.174988,4679328
22-02-2016,472.049988,484.149994,472.049988,481.149994,5838396
23-02-2016,481.549988,483.600006,471.375,474.825012,8681492
24-02-2016,472.450012,479.274994,471,476.325012,6942622
25-02-2016,477.100006,478.274994,470.424988,472.049988,11350050
26-02-2016,476.5,479.375,472.149994,475.174988,3817066
29-02-2016,475.649994,497.299988,467.5,483.325012,14186948
01-03-2016,482.350006,492.524994,482.325012,490.649994,7521846
02-03-2016,496.450012,502.875,493.625,500.75,9191772
03-03-2016,505,509,498.75,506.424988,7260012
04-03-2016,507,507.5,501.75,503.200012,4108856
08-03-2016,503.75,515.450012,503.75,513.5,6045108
09-03-2016,510,521.950012,509.299988,520.849976,5419662
10-03-2016,521.025024,522.950012,504.5,505.875,9466248
11-03-2016,507.450012,514.775024,505.299988,507.25,7003352
14-03-2016,509.549988,513.200012,506.475006,509.875,5431180
15-03-2016,512,513.924988,507.549988,510.25,4794664
16-03-2016,510.5,512.900024,502.725006,510.875,5058148
17-03-2016,513.5,518.450012,506,508,7695480
18-03-2016,509.125,515.075012,507.850006,513.599976,6414492
21-03-2016,513.974976,520.75,511.375,518.650024,5809704
22-03-2016,518.5,526.125,517.825012,523.924988,7009934
23-03-2016,523.450012,523.450012,511.200012,514.599976,7683308
28-03-2016,515,515.849976,507.825012,510.200012,8261106
