Date,Open,High,Low,Close,Volume,,,,,,,,
31-May-22,474,476.4,465,468.1,"1,54,41,579",,,,,,,,
01-Jun-22,468,472,464.7,468.3,"94,24,008",,,,,,,,
02-Jun-22,466.9,472.35,466.15,469.85,"93,70,989",,,,,,,,
03-Jun-22,473.25,475.5,463.5,464.5,"1,13,06,291",,,,,,,,
06-Jun-22,464.2,465.6,456.5,463.7,"1,06,61,432",,,,,,,,
07-Jun-22,461.85,465.95,460.5,463.4,"76,72,515",,,,,,,,
08-Jun-22,466.6,475.55,463.2,471.3,"1,71,68,871",,,,,,,,
09-Jun-22,468.95,470.9,462.45,466.95,"1,26,35,601",,,,,,,,
10-Jun-22,462,464.15,458.6,461.85,"86,21,104",,,,,,,,
13-Jun-22,454,454.05,442.1,445.85,"1,34,26,836",,,,,,,,
14-Jun-22,445,449.25,443.35,448.1,"1,13,51,101",,,,,,,,
15-Jun-22,448.95,455.45,448.6,451.35,"99,20,926",,,,,,,,
16-Jun-22,455.15,457.75,440.15,441.6,"1,07,80,703",,,,,,,,
17-Jun-22,440,447.55,437.25,441,"1,43,26,050",,,,,,,,
20-Jun-22,441.5,443.45,430.7,434.7,"1,23,68,534",,,,,,,,
21-Jun-22,439.5,454.95,437.6,450.75,"1,38,01,891",,,,,,,,
22-Jun-22,448.75,451.2,444.65,447.65,"1,10,66,447",,,,,,,,
23-Jun-22,449,456.45,446,451.4,"1,22,29,833",,,,,,,,
24-Jun-22,455.8,460.35,453.2,454.25,"1,08,33,364",,,,,,,,
27-Jun-22,459.95,464.85,458.05,461.2,"95,09,175",,,,,,,,
28-Jun-22,458.9,465.75,458,464.25,"1,32,61,290",,,,,,,,
29-Jun-22,460,462.7,458,459.1,"1,18,00,876",,,,,,,,
30-Jun-22,459,469.3,458.6,465.9,"1,69,26,328",,,,,,,,
01-Jul-22,463.35,468.8,460.55,466.85,"94,05,495",,,,,,,,
04-Jul-22,466.85,474.15,466.85,473.45,"91,86,358",,,,,,,,
05-Jul-22,475.15,480,471,472.15,"1,20,03,244",,,,,,,,
06-Jul-22,475.15,481,473.9,479.95,"1,20,59,857",,,,,,,,
07-Jul-22,484,488.25,481.6,486.75,"1,14,97,832",,,,,,,,
08-Jul-22,489,489.9,485.15,488.55,"90,57,231",,,,,,,,
11-Jul-22,485,491.3,485,488.2,"77,04,792",,,,,,,,
12-Jul-22,485,491.35,483.1,484.95,"73,64,457",,,,,,,,
13-Jul-22,487.75,492.45,484.55,486.5,"82,08,853",,,,,,,,
14-Jul-22,486.6,488.9,476.8,479.35,"93,85,630",,,,,,,,
15-Jul-22,482.55,484.4,474.7,479.1,"69,45,602",,,,,,,,
18-Jul-22,484.55,491.5,482.1,490.3,"99,34,786",,,,,,,,
19-Jul-22,488,498.55,488,497.95,"1,17,24,183",,,,,,,,
20-Jul-22,501,510.6,500.4,508.6,"1,92,80,117",,,,,,,,
21-Jul-22,509.8,513.4,506.75,512.05,"1,38,14,893",,,,,,,,
22-Jul-22,513.45,520.2,511.2,513.7,"1,46,99,129",,,,,,,,
25-Jul-22,513.4,519,509.15,517.8,"1,02,29,778",,,,,,,,
26-Jul-22,517.7,520.8,513.1,514.2,"88,62,656",,,,,,,,
27-Jul-22,515.3,529.95,512.25,528.2,"1,51,01,546",,,,,,,,
28-Jul-22,533.2,537.5,529.55,532.45,"1,21,60,734",,,,,,,,
29-Jul-22,535.05,537,526.75,528.35,"1,19,21,058",,,,,,,,
01-Aug-22,529.05,535,526.4,533.75,"82,95,631",,,,,,,,
02-Aug-22,531.9,544.9,531.1,542.1,"1,68,45,027",,,,,,,,
03-Aug-22,541.9,546.4,534.65,540.85,"2,42,62,125",,,,,,,,
04-Aug-22,543.65,544,524.2,533.25,"1,80,72,293",,,,,,,,
05-Aug-22,535.55,542.9,529,531.05,"2,11,10,734",,,,,,,,
08-Aug-22,524,524,513.85,520.4,"3,25,66,317",,,,,,,,
10-Aug-22,521.55,523.5,513.4,514.7,"1,69,04,151",,,,,,,,
11-Aug-22,520,526,517.2,524.75,"1,38,62,195",,,,,,,,
12-Aug-22,525.7,531.8,525.15,530.7,"1,21,54,012",,,,,,,,
16-Aug-22,533.3,533.85,525,525.95,"1,07,21,167",,,,,,,,
17-Aug-22,528.85,530.55,524.35,528.15,"1,20,54,183",,,,,,,,
18-Aug-22,526.85,534.8,526.2,532.35,"90,13,662",,,,,,,,
19-Aug-22,532,533.65,518.5,520.35,"1,10,87,222",,,,,,,,
22-Aug-22,519,519.9,510,511.3,"96,76,954",,,,,,,,
23-Aug-22,508.25,524,508.25,521.9,"85,97,965",,,,,,,,
24-Aug-22,519,523,512.3,519.3,"1,19,30,650",,,,,,,,
25-Aug-22,521.95,528.3,518.5,520.4,"1,54,73,450",,,,,,,,
26-Aug-22,523.8,529.5,522.2,523.8,"1,28,55,886",,,,,,,,
29-Aug-22,511.3,517,508.75,514.85,"94,21,339",,,,,,,,
30-Aug-22,518.2,532.5,517.95,531.25,"1,48,35,308",,,,,,,,
01-Sep-22,522.25,540.9,522.25,533.3,"1,66,70,228",,,,,,,,
02-Sep-22,537,537.85,531.25,536.7,"1,00,17,930",,,,,,,,
05-Sep-22,537,540.8,536.3,538.9,"78,19,994",,,,,,,,
06-Sep-22,538,542.7,534.1,537.8,"86,57,868",,,,,,,,
07-Sep-22,534.4,537.45,531.55,532.85,"84,45,359",,,,,,,,
08-Sep-22,536,546.3,535.5,544.65,"1,22,40,707",,,,,,,,
09-Sep-22,549.65,557,548,553.35,"1,85,87,927",,,,,,,,
12-Sep-22,554.9,558.6,551.25,554.9,"96,77,415",,,,,,,,
13-Sep-22,560,560,553.75,558,"1,67,07,275",,,,,,,,
14-Sep-22,550,574.85,549.25,571.75,"2,16,32,641",,,,,,,,
15-Sep-22,572.55,578.5,567.9,572.15,"1,27,49,947",,,,,,,,
16-Sep-22,569.1,574,560.3,561.8,"1,47,39,280",,,,,,,,
19-Sep-22,560.7,574.4,559.55,572.25,"1,11,94,003",,,,,,,,
20-Sep-22,577.95,577.95,572.85,574.05,"84,84,017",,,,,,,,
21-Sep-22,575,577.3,565.4,569.7,"93,92,526",,,,,,,,
22-Sep-22,566.75,574,562,567.3,"1,18,69,435",,,,,,,,
23-Sep-22,564.8,568,549.5,550.6,"1,25,63,239",,,,,,,,
26-Sep-22,545.8,549,533,543.3,"1,61,58,750",,,,,,,,
27-Sep-22,544.55,550.9,533.2,536.5,"1,10,66,799",,,,,,,,
28-Sep-22,532.9,539.8,520.35,524.85,"1,22,33,485",,,,,,,,
29-Sep-22,529,535.7,519.55,521.75,"1,73,10,168",,,,,,,,
30-Sep-22,524,536.9,516.15,530.6,"1,74,66,950",,,,,,,,
03-Oct-22,527.6,531.65,518.5,519.75,"93,51,162",,,,,,,,
04-Oct-22,533,535.8,527.8,532.7,"87,45,887",,,,,,,,
